Family,Genus,C3,CAM,C3-CAM,C4-CAM,C4,C3-C4,Sources,Order,Subfamily,Tribe,Subtribe
Fabaceae,Calycomorphum,,,,,,,,,,,
Euphorbiaceae,Calycopeplus,,,,,,,,,,,
Rubiaceae,Calycophyllum,,,,,,,,,,,
Cucurbitaceae,Calycophysum,,,,,,,,,,,
Myrtaceae,Calycorectes,,,,,,,,,,,
Asteraceae,Calycoseris,,,,,,,,,,,
Rubiaceae,Calycosia,,,,,,,,,,,
Rubiaceae,Calycosiphonia,,,,,,,,,,,
Fabaceae,Calycotome,,,,,,,,,,,
Caryophyllaceae,Calycotropis,,,,,,,,,,,
Malvaceae,Calyculogygas,,,,,,,,,,,
Iridaceae,Calydorea,,,,,,,,,,,
Onagraceae,Calylophus,,,,,,,,,,,
Nyctaginaceae,Calymenia,,,,,,,,,,,
Orchidaceae,Calymmanthera,,,,,,,,,,,
Cactaceae,Calymmanthium,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Brassicaceae,Calymmatium,,,,,,,,,,,
Lythraceae,Calyplectus,,,,,,,,,,,
Orchidaceae,Calypso,,,,,,,,,,,
Asteraceae,Calyptocarpus,,,,,,,,,,,
Poaceae,Calyptochloa,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Malpighiaceae,Calyptostylis,,,,,,,,,,,
Boraginaceae,Calyptracordia,,,,,,,,,,,
Malvaceae,Calyptraemalva,,,,,,,,,,,
Saxifragaceae,Calyptranthe,,,,,,,,,,,
Apocynaceae,Calyptranthera,,,,,,,,,,,
Myrtaceae,Calyptranthes,,,,,,,,,,,
Melastomataceae,Calyptraria,,,,,,,,,,,
Melastomataceae,Calyptrella,,,,,,,,,,,
Portulacaceae,Calyptridium,,,,,,,,,,,
Violaceae,Calyptrion,,,,,,,,,,,
Arecaceae,Calyptrocalyx,,,,,,,,,,,
Cyperaceae,Calyptrocarya,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Orchidaceae,Calyptrochilum,,,,,,,,,,,
Myrtaceae,Calyptrogenia,,,,,,,,,,,
Arecaceae,Calyptrogyne,,,,,,,,,,,
Arecaceae,Calyptronoma,,,,,,,,,,,
Apiaceae,Calyptrosciadium,,,,,,,,,,,
Thymelaeaceae,Calyptrostegia,,,,,,,,,,,
Caprifoliaceae,Calyptrostigma,,,,,,,,,,,
Didiereaceae,Calyptrotheca,,,,,,,,,,,
Clusiaceae,Calysaccion,,,,,,,,,,,
Thymelaeaceae,Calysericos,,,,,,,,,,,
Caprifoliaceae,Calysphyrum,,,,,,,,,,,
Convolvulaceae,Calystegia,,,,,,,,,,,
Myrtaceae,Calytrix,,,,,,,,,,,
Nyctaginaceae,Calyxhymenia,,,,,,,,,,,
Malpighiaceae,Camarea,,,,,,,,,,,
Orchidaceae,Camaridium,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Acanthaceae,Camarotea,,,,,,,,,,,
Asparagaceae,Camassia,1.0,0.0,0.0,0.0,0.0,,,Asparagales,,,
Melastomataceae,Cambessedesia,,,,,,,,,,,
Asteraceae,Camchaya,,,,,,,,,,,
Brassicaceae,Camelina,,,,,,,,,,,
Brassicaceae,Camelinopsis,,,,,,,,,,,
Theaceae,Camellia,,,,,,,,,,,
Orchidaceae,Camelostalix,,,,,,,,,,,
Apocynaceae,Cameraria,,,,,,,,,,,
Onagraceae,Camissonia,,,,,,,,,,,
Onagraceae,Camissoniopsis,,,,,,,,,,,
Fabaceae,Camoensia,,,,,,,,,,,
Convolvulaceae,Camonea,,,,,,,,,,,
Rubiaceae,Campanocalyx,,,,,,,,,,,
Campanulaceae,Campanula,,,,,,,,,,,
Campanulaceae,Campanulopsis,,,,,,,,,,,
Orchidaceae,Campanulorchis,,,,,,,,,,,
Orobanchaceae,Campbellia,,,,,,,,,,,
Velloziaceae,Campderia,,,,,,,,,,,
Poaceae,Campeiostachys,,,,,,,,,,,
Apocynaceae,Campestigma,,,,,,,,,,,
Lauraceae,Camphora,,,,,,,,,,,
Lauraceae,Camphoromoea,,,,,,,,,,,
Amaranthaceae,Camphorosma,0.0,0.0,0.0,0.0,1.0,0.0,Kadereit and Freitag (2011),,,,
Goodeniaceae,Camphusia,,,,,,,,,,,
Melastomataceae,Campimia,,,,,,,,,,,
Anacardiaceae,Campnosperma,,,,,,,,,,,
Myrtaceae,Campomanesia,,,,,,,,,,,
Asteraceae,Campovassouria,,,,,,,,,,,
Fabaceae,Campsiandra,,,,,,,,,,,
Bignoniaceae,Campsidium,,,,,,,,,,,
Bignoniaceae,Campsis,,,,,,,,,,,
Asteraceae,Camptacra,,,,,,,,,,,
Zingiberaceae,Camptandra,,,,,,,,,,,
Apocynaceae,Camptocarpus,,,,,,,,,,,
Sapindaceae,Camptolepis,,,,,,,,,,,
Scrophulariaceae,Camptoloma,,,,,,,,,,,
Rubiaceae,Camptopus,,,,,,,,,,,
Colchicaceae,Camptorrhiza,,,,,,,,,,,
Fabaceae,Camptosema,,,,,,,,,,,
Malvaceae,Camptostemon,,,,,,,,,,,
Achariaceae,Camptostylus,,,,,,,,,,,
Cornaceae,Camptotheca,,,,,,,,,,,
Ochnaceae,Camptouratea,,,,,,,,,,,
Scrophulariaceae,Campuleia,,,,,,,,,,,
Asteraceae,Campuloclinium,,,,,,,,,,,
Poaceae,Campulosus,,,,,,,,,,,
Malvaceae,Campylanthera,,,,,,,,,,,
Plantaginaceae,Campylanthus,,,,,,,,,,,
Geraniaceae,Campylia,,,,,,,,,,,
Orchidaceae,Campylocentrum,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Ochnaceae,Campylocercum,,,,,,,,,,,
Ochnaceae,Campylochnella,,,,,,,,,,,
Anacardiaceae,Campylopetalum,,,,,,,,,,,
Burmanniaceae,Campylosiphon,,,,,,,,,,,
Ochnaceae,Campylospermum,,,,,,,,,,,
Stilbaceae,Campylostachys,,,,,,,,,,,
Celastraceae,Campylostemon,,,,,,,,,,,
Asteraceae,Campylotheca,,,,,,,,,,,
Fabaceae,Campylotropis,,,,,,,,,,,
Campynemataceae,Campynema,,,,,,,,,,,
Campynemataceae,Campynemanthe,,,,,,,,,,,
Meliaceae,Camunium,,,,,,,,,,,
Poaceae,Camusiella,,,,,,,,,,,
Myricaceae,Canacomyrica,,,,,,,,,,,
Asteraceae,Canadanthus,,,,,,,,,,,
Loganiaceae,Canala,,,,,,,,,,,
Annonaceae,Cananga,,,,,,,,,,,
Phyllanthaceae,Canariastrum,,,,,,,,,,,
Campanulaceae,Canarina,,,,,,,,,,,
Burseraceae,Canariopsis,,,,,,,,,,,
Burseraceae,Canarium,,,,,,,,,,,
Poaceae,Canastra,1.0,0.0,0.0,0.0,0.0,0.0,Morrone et al. (2001),,,,
Fabaceae,Canavalia,,,,,,,,,,,
Papaveraceae,Canbya,,,,,,,,,,,
Asteraceae,Cancrinia,,,,,,,,,,,
Asteraceae,Cancriniella,,,,,,,,,,,
Dilleniaceae,Candollea,,,,,,,,,,,
Fabaceae,Candolleodendron,,,,,,,,,,,
Canellaceae,Canella,,,,,,,,,,,
Rubiaceae,Canephora,,,,,,,,,,,
Bromeliaceae,Canistropsis,0.0,1.0,0.0,0.0,0.0,,,Poales,,,
Bromeliaceae,Canistrum,0.0,1.0,0.0,0.0,0.0,,,Poales,,,
Cannaceae,Canna,,,,,,,,,,,
Cannabaceae,Cannabis,,,,,,,,,,,
Apiaceae,Cannaboides,,,,,,,,,,,
Restionaceae,Cannomois,,,,,,,,,,,
Celastraceae,Canotia,,,,,,,,,,,
Gentianaceae,Canscora,,,,,,,,,,,
Fabaceae,Cansenia,,,,,,,,,,,
Opiliaceae,Cansjera,,,,,,,,,,,
Fabaceae,Cantharospermum,,,,,,,,,,,
Rubiaceae,Canthium,,,,,,,,,,,
Stemonuraceae,Cantleya,,,,,,,,,,,
Polemoniaceae,Cantua,,,,,,,,,,,
Fabaceae,Cantuffa,,,,,,,,,,,
Gesneriaceae,Capanea,,,,,,,,,,,
Orchidaceae,Capanemia,,,,,,,,,,,
Asteraceae,Capelio,,,,,,,,,,,
Dilleniaceae,Capellia,,,,,,,,,,,
Cyperaceae,Capeobolus,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Poaceae,Capeochloa,1.0,0.0,0.0,0.0,0.0,0.0,Linder et al. (2010); Linder pers. comm.,,,,
Euphorbiaceae,Caperonia,,,,,,,,,,,
Poaceae,Capillipedium,0.0,0.0,0.0,0.0,1.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Rubiaceae,Capirona,,,,,,,,,,,
Lamiaceae,Capitanopsis,,,,,,,,,,,
Cyperaceae,Capitularina,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Papaveraceae,Capnites,,,,,,,,,,,
Papaveraceae,Capnoides,,,,,,,,,,,
Apiaceae,Capnophyllum,,,,,,,,,,,
Capparaceae,Capparicordis,,,,,,,,,,,
Capparaceae,Capparidastrum,,,,,,,,,,,
Capparaceae,Capparis,,,,,,,,,,,
Scrophulariaceae,Capraria,,,,,,,,,,,
Caprifoliaceae,Caprifolium,,,,,,,,,,,
Brassicaceae,Capsella,,,,,,,,,,,
Solanaceae,Capsicum,,,,,,,,,,,
Sapotaceae,Capurodendron,,,,,,,,,,,
Lythraceae,Capuronia,,,,,,,,,,,
Meliaceae,Capuronianthus,,,,,,,,,,,
Asteraceae,Caradesia,,,,,,,,,,,
Asteraceae,Caraea,,,,,,,,,,,
Fabaceae,Caragana,,,,,,,,,,,
Bromeliaceae,Caraguata,,,,,,,,,,,
Calophyllaceae,Caraipa,,,,,,,,,,,
Rhizophoraceae,Carallia,,,,,,,,,,,
Apocynaceae,Caralluma,0.0,1.0,0.0,0.0,0.0,,,Gentianales,,,
Meliaceae,Carapa,,,,,,,,,,,
Rubiaceae,Carapichea,,,,,,,,,,,
Asteraceae,Carbeni,,,,,,,,,,,
Brassicaceae,Cardamine,,,,,,,,,,,
Brassicaceae,Cardaminopsis,,,,,,,,,,,
Zingiberaceae,Cardamomum,,,,,,,,,,,
Acanthaceae,Cardanthera,,,,,,,,,,,
Iridaceae,Cardenanthus,,,,,,,,,,,
Anacardiaceae,Cardenasiodendron,,,,,,,,,,,
Acanthaceae,Cardiacanthus,,,,,,,,,,,
Hydrangeaceae,Cardiandra,,,,,,,,,,,
Orchidaceae,Cardiochilos,,,,,,,,,,,
Convolvulaceae,Cardiochlamys,,,,,,,,,,,
Liliaceae,Cardiocrinum,,,,,,,,,,,
Caryophyllaceae,Cardionema,,,,,,,,,,,
Annonaceae,Cardiopetalum,,,,,,,,,,,
Cardiopteridaceae,Cardiopteris,,,,,,,,,,,
Sapindaceae,Cardiospermum,,,,,,,,,,,
Asteraceae,Cardopatium,,,,,,,,,,,
Asteraceae,Carduncellus,,,,,,,,,,,
Asteraceae,Carduocirsium,,,,,,,,,,,
Asteraceae,Carduus,,,,,,,,,,,
Proteaceae,Cardwellia,,,,,,,,,,,
Cyperaceae,Carex,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Lecythidaceae,Careya,,,,,,,,,,,
Ebenaceae,Cargillia,,,,,,,,,,,
Nyctaginaceae,Caribea,,,,,,,,,,,
Caricaceae,Carica,,,,,,,,,,,
Brassicaceae,Carinavalva,,,,,,,,,,,
Lecythidaceae,Cariniana,,,,,,,,,,,
Melastomataceae,Carionia,,,,,,,,,,,
Apocynaceae,Carissa,,,,,,,,,,,
Fabaceae,Carissoa,,,,,,,,,,,
Gentianaceae,Carissophyllum,,,,,,,,,,,
Carlemanniaceae,Carlemannia,,,,,,,,,,,
Araceae,Carlephyton,,,,,,,,,,,
Apiaceae,Carlesia,,,,,,,,,,,
Asteraceae,Carlina,,,,,,,,,,,
Amaryllidaceae,Carlotea,,,,,,,,,,,
Acanthaceae,Carlowrightia,,,,,,,,,,,
Asteraceae,Carlquistia,,,,,,,,,,,
Cyclanthaceae,Carludovica,,,,,,,,,,,
Asteraceae,Carmelita,,,,,,,,,,,
Fabaceae,Carmichaelia,,,,,,,,,,,
Asteraceae,Carminatia,,,,,,,,,,,
Proteaceae,Carnarvonia,,,,,,,,,,,
Cactaceae,Carnegiea,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Monimiaceae,Carnegieodoxa,,,,,,,,,,,
Primulaceae,Carolinella,,,,,,,,,,,
Malpighiaceae,Carolus,,,,,,,,,,,
Apiaceae,Caropodium,,,,,,,,,,,
Apiaceae,Caropsis,,,,,,,,,,,
Amaranthaceae,Caroxylon,0.0,0.0,0.0,0.0,1.0,0.0,Sage (2016); Akhani et al (2007); Kadereit et al (2012),,,,
Rubiaceae,Carpacoce,,,,,,,,,,,
Aizoaceae,Carpanthea,,,,,,,,,,,
Arecaceae,Carpentaria,,,,,,,,,,,
Hydrangeaceae,Carpenteria,,,,,,,,,,,
Convolvulaceae,Carpentia,,,,,,,,,,,
Asteraceae,Carpesium,,,,,,,,,,,
Cyperaceae,Carpha,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Rubiaceae,Carphalea,,,,,,,,,,,
Asteraceae,Carphephorus,,,,,,,,,,,
Asteraceae,Carphochaete,,,,,,,,,,,
Betulaceae,Carpinus,,,,,,,,,,,
Aizoaceae,Carpobrotus,0.0,0.0,1.0,0.0,0.0,,,Caryophyllales,,,
Gesneriaceae,Carpocalymna,,,,,,,,,,,
Martyniaceae,Carpoceras,,,,,,,,,,,
Rousseaceae,Carpodetus,,,,,,,,,,,
Apocynaceae,Carpodinus,,,,,,,,,,,
Malvaceae,Carpodiptera,,,,,,,,,,,
Polygalaceae,Carpolobia,,,,,,,,,,,
Brassicaceae,Carponema,,,,,,,,,,,
Caryophyllaceae,Carpophora,,,,,,,,,,,
Brassicaceae,Carpopodium,,,,,,,,,,,
Fabaceae,Carpopogon,,,,,,,,,,,
Achariaceae,Carpotroche,,,,,,,,,,,
Arecaceae,Carpoxylon,,,,,,,,,,,
Piperaceae,Carpunya,,,,,,,,,,,
Piperaceae,Carpupica,,,,,,,,,,,
Asteraceae,Carramboa,,,,,,,,,,,
Brassicaceae,Carrichtera,,,,,,,,,,,
Salicaceae,Carrierea,,,,,,,,,,,
Menispermaceae,Carronia,,,,,,,,,,,
Aizoaceae,Carruanthus,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Apocynaceae,Carruthersia,,,,,,,,,,,
Rubiaceae,Carterella,,,,,,,,,,,
Asteraceae,Carterothamnus,,,,,,,,,,,
Asteraceae,Carthamus,,,,,,,,,,,
Brassicaceae,Cartiera,,,,,,,,,,,
Commelinaceae,Cartonema,,,,,,,,,,,
Apiaceae,Carum,,,,,,,,,,,
Apocynaceae,Caruncularia,,,,,,,,,,,
Apocynaceae,Carvalhoa,,,,,,,,,,,
Juglandaceae,Carya,,,,,,,,,,,
Caryocaraceae,Caryocar,,,,,,,,,,,
Poaceae,Caryochloa,,,,,,,,,,,
Lauraceae,Caryodaphnopsis,,,,,,,,,,,
Euphorbiaceae,Caryodendron,,,,,,,,,,,
Fabaceae,Caryolobium,,,,,,,,,,,
Menispermaceae,Caryomene,,,,,,,,,,,
Rosaceae,Caryophyllata,,,,,,,,,,,
Myrtaceae,Caryophyllus,,,,,,,,,,,
Lamiaceae,Caryopteris,,,,,,,,,,,
Arecaceae,Caryota,,,,,,,,,,,
Aizoaceae,Caryotophora,,,,,,,,,,,
Simaroubaceae,Casabitoa,,,,,,,,,,,
Ranunculaceae,Casalea,,,,,,,,,,,
Rubiaceae,Casasia,,,,,,,,,,,
Apocynaceae,Cascabela,,,,,,,,,,,
Saxifragaceae,Cascadia,,,,,,,,,,,
Rubiaceae,Cascarilla,,,,,,,,,,,
Fabaceae,Cascaronia,,,,,,,,,,,
Salicaceae,Casearia,,,,,,,,,,,
Icacinaceae,Casimirella,,,,,,,,,,,
Rutaceae,Casimiroa,,,,,,,,,,,
Poaceae,Casiostega,,,,,,,,,,,
Fabaceae,Casparea,,,,,,,,,,,
Fabaceae,Casparia,,,,,,,,,,,
Begoniaceae,Casparya,,,,,,,,,,,
Ericaceae,Cassandra,,,,,,,,,,,
Melastomataceae,Cassebeeria,,,,,,,,,,,
Verbenaceae,Casselia,,,,,,,,,,,
Fabaceae,Cassia,1.0,0.0,0.0,0.0,0.0,,,Fabales,,,
Sapotaceae,Cassidispermum,,,,,,,,,,,
Apiaceae,Cassidocarpus,,,,,,,,,,,
Celastraceae,Cassine,,,,,,,,,,,
Asteraceae,Cassinia,,,,,,,,,,,
Icacinaceae,Cassinopsis,,,,,,,,,,,
Ericaceae,Cassiope,,,,,,,,,,,
Rhizophoraceae,Cassipourea,,,,,,,,,,,
Rubiaceae,Cassupa,,,,,,,,,,,
Convolvulaceae,Cassutha,,,,,,,,,,,
Anacardiaceae,Cassuvium,,,,,,,,,,,
Lauraceae,Cassytha,,,,,,,,,,,
Nymphaeaceae,Castalia,,,,,,,,,,,
Asteraceae,Castalis,,,,,,,,,,,
Fagaceae,Castanea,,,,,,,,,,,
Asteraceae,Castanedia,,,,,,,,,,,
Sapindaceae,Castanella,,,,,,,,,,,
Fabaceae,Castanocarpus,,,,,,,,,,,
Connaraceae,Castanola,,,,,,,,,,,
Fagaceae,Castanopsis,,,,,,,,,,,
Fabaceae,Castanospermum,,,,,,,,,,,
Sapindaceae,Castanospora,,,,,,,,,,,
Simaroubaceae,Castela,,,,,,,,,,,
Amaryllidaceae,Castellanoa,,,,,,,,,,,
Cactaceae,Castellanosia,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Poaceae,Castellia,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Podostemaceae,Castelnavia,,,,,,,,,,,
Moraceae,Castilla,,,,,,,,,,,
Orobanchaceae,Castilleja,,,,,,,,,,,
Verbenaceae,Castorea,,,,,,,,,,,
Melastomataceae,Castratella,,,,,,,,,,,
Asteraceae,Castrilanthemum,,,,,,,,,,,
Asteraceae,Castroviejoa,,,,,,,,,,,
Casuarinaceae,Casuarina,,,,,,,,,,,
Poaceae,Catabrosa,1.0,0.0,0.0,0.0,0.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Poaceae,Catabrosella,,,,,,,,,,,
Melastomataceae,Catachaenia,,,,,,,,,,,
Orchidaceae,Catachaetum,,,,,,,,,,,
Fabaceae,Catacline,,,,,,,,,,,
Restionaceae,Catacolea,,,,,,,,,,,
Brassicaceae,Catadysia,,,,,,,,,,,
Proteaceae,Catalepidia,,,,,,,,,,,
Poaceae,Catalepis,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992); photos provided by R.P. Ellis,,,,
Bignoniaceae,Catalpa,,,,,,,,,,,
Asteraceae,Catamixis,,,,,,,,,,,
Asteraceae,Catananche,,,,,,,,,,,
Melastomataceae,Catanthera,,,,,,,,,,,
Poaceae,Catapodium,1.0,0.0,0.0,0.0,0.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Combretaceae,Catappa,,,,,,,,,,,
Proteaceae,Catas,,,,,,,,,,,
Orchidaceae,Catasetum,,,,,,,,,,,
Asteraceae,Catatia,,,,,,,,,,,
Brassicaceae,Catenulina,,,,,,,,,,,
Rubiaceae,Catesbaea,,,,,,,,,,,
Celastraceae,Catha,,,,,,,,,,,
Apocynaceae,Catharanthus,,,,,,,,,,,
Poaceae,Cathariostachys,1.0,0.0,0.0,0.0,0.0,0.0,BEP clade,,,,
Fabaceae,Cathartocarpus,,,,,,,,,,,
Linaceae,Cathartolinum,,,,,,,,,,,
Celastraceae,Cathastrum,,,,,,,,,,,
Gesneriaceae,Cathayanthe,,,,,,,,,,,
Papaveraceae,Cathcartia,,,,,,,,,,,
Olacaceae,Cathedra,,,,,,,,,,,
Poaceae,Cathestecum,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Phyllanthaceae,Cathetus,,,,,,,,,,,
Fabaceae,Cathormion,,,,,,,,,,,
Myrtaceae,Catinga,,,,,,,,,,,
Arecaceae,Catoblastus,,,,,,,,,,,
Melastomataceae,Catocoryne,,,,,,,,,,,
Lamiaceae,Catoferia,,,,,,,,,,,
Asteraceae,Catolesia,,,,,,,,,,,
Brassicaceae,Catolobus,,,,,,,,,,,
Melastomataceae,Catonia,,,,,,,,,,,
Bignoniaceae,Catophractes,,,,,,,,,,,
Bromeliaceae,Catopsis,1.0,0.0,0.0,0.0,0.0,,,Poales,,,
Malvaceae,Catostemma,,,,,,,,,,,
Orchidaceae,Cattleya,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Rubiaceae,Catunaregam,,,,,,,,,,,
Euphorbiaceae,Caturus,,,,,,,,,,,
Orchidaceae,Caucaea,,,,,,,,,,,
Apiaceae,Caucalis,,,,,,,,,,,
Malpighiaceae,Caucanthus,,,,,,,,,,,
Asteraceae,Caucasalia,,,,,,,,,,,
Oxalidaceae,Caudoxalis,,,,,,,,,,,
Brassicaceae,Caulanthus,,,,,,,,,,,
Orchidaceae,Caularthron,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Fabaceae,Caulinia,,,,,,,,,,,
Zingiberaceae,Caulokaempferia,,,,,,,,,,,
Berberidaceae,Caulophyllum,,,,,,,,,,,
Brassicaceae,Caulostramina,,,,,,,,,,,
Fabaceae,Caulotretus,,,,,,,,,,,
Cyperaceae,Caustis,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Zingiberaceae,Cautleya,,,,,,,,,,,
Euphorbiaceae,Cavacoa,,,,,,,,,,,
Asteraceae,Cavalcantia,,,,,,,,,,,
Hamamelidaceae,Cavaleriea,,,,,,,,,,,
Caprifoliaceae,Cavaleriella,,,,,,,,,,,
Icacinaceae,Cavanilla,,,,,,,,,,,
Malvaceae,Cavanillesia,,,,,,,,,,,
Fabaceae,Cavaraea,,,,,,,,,,,
Asteraceae,Cavea,,,,,,,,,,,
Ericaceae,Cavendishia,,,,,,,,,,,
Asteraceae,Caxamarca,,,,,,,,,,,
Cucurbitaceae,Cayaponia,,,,,,,,,,,
Resedaceae,Caylusea,,,,,,,,,,,
Vitaceae,Cayratia,,,,,,,,,,,
Rhamnaceae,Ceanothus,,,,,,,,,,,
Amaryllidaceae,Cearanthes,,,,,,,,,,,
Menispermaceae,Cebatha,,,,,,,,,,,
Fabaceae,Cebipira,,,,,,,,,,,
Loranthaceae,Cecarria,,,,,,,,,,,
Urticaceae,Cecropia,,,,,,,,,,,
Meliaceae,Cedrela,,,,,,,,,,,
Fabaceae,Cedrelinga,,,,,,,,,,,
Meliaceae,Cedrelopsis,,,,,,,,,,,
Lamiaceae,Cedronella,,,,,,,,,,,
Simaroubaceae,Cedronia,,,,,,,,,,,
Lauraceae,Cedrota,,,,,,,,,,,
Meliaceae,Cedrus,,,,,,,,,,,
Malvaceae,Ceiba,,,,,,,,,,,
Celastraceae,Celastrus,,,,,,,,,,,
Acanthaceae,Celerina,,,,,,,,,,,
Phyllanthaceae,Celianella,,,,,,,,,,,
Gentianaceae,Celiantha,,,,,,,,,,,
Asteraceae,Celmisia,,,,,,,,,,,
Amaranthaceae,Celosia,1.0,0.0,0.0,0.0,0.0,,Sage et al (2007),Caryophyllales,,,
Scrophulariaceae,Celsia,,,,,,,,,,,
Cannabaceae,Celtis,,,,,,,,,,,
Proteaceae,Cenarrhenes,,,,,,,,,,,
Poaceae,Cenchrus,0.0,0.0,0.0,0.0,1.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Asteraceae,Cenia,,,,,,,,,,,
Malvaceae,Cenocentrum,,,,,,,,,,,
Asteraceae,Cenocline,,,,,,,,,,,
Apiaceae,Cenolophium,,,,,,,,,,,
Fabaceae,Cenostigma,,,,,,,,,,,
Asteraceae,Centaurea,,,,,,,,,,,
Asteraceae,Centaureopappus,,,,,,,,,,,
Gentianaceae,Centaurium,,,,,,,,,,,
Asteraceae,Centaurodendron,,,,,,,,,,,
Asteraceae,Centauropsis,,,,,,,,,,,
Asteraceae,Centaurothamnus,,,,,,,,,,,
Apiaceae,Centella,,,,,,,,,,,
Amaranthaceae,Centema,1.0,0.0,0.0,0.0,0.0,,Sage et al (2007),Caryophyllales,,,
Amaranthaceae,Centemopsis,1.0,0.0,0.0,0.0,0.0,,Sage et al (2007),Caryophyllales,,,
Polygonaceae,Centinodia,,,,,,,,,,,
Asteraceae,Centipeda,,,,,,,,,,,
Poaceae,Centotheca,1.0,0.0,0.0,0.0,0.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Asteraceae,Centrachena,,,,,,,,,,,
Melastomataceae,Centradenia,,,,,,,,,,,
Melastomataceae,Centradeniastrum,,,,,,,,,,,
Orobanchaceae,Centranthera,,,,,,,,,,,
Orobanchaceae,Centrantheropsis,,,,,,,,,,,
Caprifoliaceae,Centranthus,,,,,,,,,,,
Asteraceae,Centrapalus,,,,,,,,,,,
Asteraceae,Centratherum,,,,,,,,,,,
Acanthaceae,Centrilla,,,,,,,,,,,
Asteraceae,Centrocarpha,,,,,,,,,,,
Poaceae,Centrochloa,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Orchidaceae,Centrogenium,,,,,,,,,,,
Orchidaceae,Centroglossa,,,,,,,,,,,
Centrolepidaceae,Centrolepis,,,,,,,,,,,
Fabaceae,Centrolobium,,,,,,,,,,,
Asteraceae,Centromadia,,,,,,,,,,,
Melastomataceae,Centronia,,,,,,,,,,,
Centroplacaceae,Centroplacus,,,,,,,,,,,
Poaceae,Centropodia,0.0,0.0,0.0,0.0,1.0,0.0,Ellis (1984); Watson and Dallwitz (1992),,,,
Campanulaceae,Centropogon,,,,,,,,,,,
Fabaceae,Centrosema,,,,,,,,,,,
Gesneriaceae,Centrosolenia,,,,,,,,,,,
Asteraceae,Centrospermum,,,,,,,,,,,
Amaranthaceae,Centrostachys,1.0,0.0,0.0,0.0,0.0,,Sage et al (2007),Caryophyllales,,,
Polygonaceae,Centrostegia,,,,,,,,,,,
Apocynaceae,Centrostemma,,,,,,,,,,,
Orchidaceae,Centrostigma,,,,,,,,,,,
Primulaceae,Centunculus,,,,,,,,,,,
Nyctaginaceae,Ceodes,,,,,,,,,,,
Rubiaceae,Cephaelis,,,,,,,,,,,
Acanthaceae,Cephalacanthus,,,,,,,,,,,
Orchidaceae,Cephalangraecum,,,,,,,,,,,
Orchidaceae,Cephalanthera,,,,,,,,,,,
Orchidaceae,Cephalantheropsis,,,,,,,,,,,
Rubiaceae,Cephalanthus,,,,,,,,,,,
Araliaceae,Cephalaralia,,,,,,,,,,,
Caprifoliaceae,Cephalaria,,,,,,,,,,,
Rubiaceae,Cephalidium,,,,,,,,,,,
Asteraceae,Cephalipterum,,,,,,,,,,,
Cyperaceae,Cephalocarpus,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Cactaceae,Cephalocereus,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Cactaceae,Cephalocleistocactus,,,,,,,,,,,
Euphorbiaceae,Cephalocroton,,,,,,,,,,,
Euphorbiaceae,Cephalocrotonopsis,,,,,,,,,,,
Malvaceae,Cephalohibiscus,,,,,,,,,,,
Cactaceae,Cephalomamillaria,0.0,1.0,0.0,0.0,0.0,,,Caryophyllales,,,
Euphorbiaceae,Cephalomappa,,,,,,,,,,,
Melastomataceae,Cephalomedinilla,,,,,,,,,,,
Malvaceae,Cephalonema,,,,,,,,,,,
Orchidaceae,Cephalopactis,,,,,,,,,,,
Asteraceae,Cephalopappus,,,,,,,,,,,
Cucurbitaceae,Cephalopentandra,,,,,,,,,,,
